Territori,Tipus de territori,1r tr 2000,2n tr 2000,3r tr 2000,4t tr 2000,1r tr 2001,2n tr 2001,3r tr 2001,4t tr 2001,1r tr 2002,2n tr 2002,3r tr 2002,4t tr 2002,1r tr 2003,2n tr 2003,3r tr 2003,4t tr 2003,1r tr 2004,2n tr 2004,3r tr 2004,4t tr 2004,1r tr 2005,2n tr 2005,3r tr 2005,4t tr 2005,1r tr 2006,2n tr 2006,3r tr 2006,4t tr 2006,1r tr 2007,2n tr 2007,3r tr 2007,4t tr 2007,1r tr 2008,2n tr 2008,3r tr 2008,4t tr 2008,1r tr 2009,2n tr 2009,3r tr 2009,4t tr 2009,1r tr 2010,2n tr 2010,3r tr 2010,4t tr 2010,1r tr 2011,2n tr 2011,3r tr 2011,4t tr 2011,1r tr 2012,2n tr 2012,3r tr 2012,4t tr 2012,1r tr 2013,2n tr 2013,3r tr 2013,4t tr 2013,1r tr 2014,2n tr 2014,3r tr 2014,4t tr 2014,1r tr 2015,2n tr 2015,3r tr 2015,4t tr 2015,1r tr 2016,2n tr 2016,3r tr 2016,4t tr 2016,1r tr 2017,2n tr 2017,3r tr 2017,4t tr 2017,1r tr 2018,2n tr 2018,3r tr 2018,4t tr 2018,1r tr 2019,2n tr 2019,3r tr 2019,4t tr 2019,1r tr 2020,2n tr 2020,3r tr 2020,4t tr 2020,1r tr 2021,2n tr 2021,3r tr 2021,4t tr 2021,1r tr 2022,2n tr 2022,3r tr 2022,4t tr 2022,1r tr 2023,2n tr 2023,3r tr 2023,4t tr 2023,1r tr 2024
Catalunya,Comunitat Autònoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527.661791,553.287439,554.8243514,568.8811391,574.5647109,595.2207454,612.2493801,627.5445298,632.3016744,631.8004178,651.7142901,663.7879853,662.155445,672.2867064,693.9099919,683.3142658,670.3631559,650.0159462,644.032047,641.2630205,622.6554904,611.7856937,621.1171894,605.0848244,594.5017351,595.3782086,608.5143729,598.4267782,578.5771963,568.0517691,572.4477003,566.5150812,547.1803972,535.6480836,544.7771471,541.5501396,532.8664034,528.5135218,544.821043,551.1193527,543.1652,541.4966,572.1901,572.3755,569.7918326,574.4881,615.2609141,621.9571907,626.0200727,638.5274812,677.1581227,675.3066612,672.3616182,688.5577894,717.8007178,715.4577982,711.3138158,724.8911328,755.3856758,750.8741928,737.8397704,724.4484511,745.4346394,725.3261323,713.2862277,713.1536139,737.5076157,733.2494253,738.1352748,759.911934,805.6871247,814.9939836,812.8741166,830.3418805,848.3908824,854.1218734,868.8489824
Metropolità de Barcelona,Àmbit funcional territorial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566.9310727,597.6359527,602.7160239,613.7299089,624.7673048,642.1350206,662.4002247,674.9274718,685.7886997,692.4949655,725.9437895,730.2948022,732.4983209,744.1067112,767.9069834,752.3760133,744.9820976,721.7668423,713.4315934,708.7907845,699.1355414,681.4714748,694.995611,676.7415925,668.5885849,665.4807684,681.5688441,667.740241,647.7813826,634.2903839,644.595788,633.8769599,609.9327812,597.4729848,606.5469906,601.2553715,593.2769941,590.4061658,611.3164669,617.8957316,610.0268,617.7583,656.614,654.7825,650.6742334,662.1224,709.0930597,717.1352559,721.3332122,738.5247442,777.1794465,772.5713976,771.3495078,787.0285529,822.2684409,822.8754687,816.4538293,833.1116918,868.527331,859.9253735,847.343297,833.96988,858.6877468,825.90296,806.5559159,812.9388851,837.0748683,830.9025308,843.0624025,864.85669,917.9112897,930.2417583,926.840332,950.7944218,980.7479731,993.1511258,1003.484627
Barcelona,Municipi,387.7231,398.8572,421.1176,426.4274,433.3532,452.7734,467.5648,500.8263,532.0150414,496.0010494,514.9921303,533.8791192,517.9636699,539.9382328,557.8401157,580.5214153,573.6687337,565.1370141,596.6674342,601.598336,603.8849274,638.8742778,644.0386553,653.9157526,659.0060855,687.734784,705.7772388,729.10105,743.9016536,742.7658006,790.8133412,788.5632779,793.437622,809.0544541,833.3215868,816.2479338,821.6450119,787.6759863,787.58292,781.6174283,775.9960483,758.6142839,760.4154668,754.8715809,746.3073,744.7107,766.7655242,752.9705116,732.4637,710.6720257,720.3590937,718.0291,686.8597297,676.6283523,681.2276602,681.6861493,674.8682493,667.8884691,701.9832016,705.7251264,702.0207,713.9287,765.2172,755.0548,755.1744498,774.1463,825.9503151,843.4308833,845.1491395,864.9803567,903.4014777,889.5848882,897.8915661,916.3317905,948.8561739,954.2862255,944.4343493,968.8891722,1005.786593,995.5912573,980.4797841,960.0551737,979.4234202,939.1043069,905.3867366,903.2825422,932.3102625,934.2110883,965.3752687,996.5556614,1066.676937,1077.477137,1087.333265,1123.564979,1171.275865,1178.049789,1193.411545
Ciutat Vella,Districte,286.9246,301.314,338.7222,370.0641,345.2979,352.787,342.2632,360.3416,433.459,398.9955,412.8685,403.233,413.9242,434.4859,459.4592,460.8048,489.7126,418.9479,475.6253,501.9415,498.8609,554.5366,535.2441,565.9228,637.1551,578.462,525.2807,646.3188,637.36,616.35,684.23,707.16,676.9319,723.4468,771.2232,746.5934,743.06,713.28,687.81,721.5,710.95,669.77,666.97,672.32,653.8393,651.5538,655.2339,690.5838,655.2527,643.8457,630.2048,646.7947,625.2197,606.9531,615.3296,627.4819,630.9702,612.3013,646.5253,666.0822,655.2188,658.5889,687.1213,700.2014,704.5217418,715.9087,751.6119165,783.2760844,802.8647247,815.266248,848.0907692,847.8897181,875.7047733,923.7179466,920.3944222,936.3137133,924.5131404,960.2097314,960.2712303,939.0081554,962.2258155,906.8489655,907.7960089,870.9961095,827.9277017,839.2728352,856.338751,864.1117195,1018.862659,966.2375866,1009.292294,1035.447656,1054.01654,1063.574209,1104.90691,1108.026684,1128.838488
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,589.5486236,550.6317115,576.4542317,596.9954937,601.3070288,598.907732,654,644.7266,624.4246957,662.2837,666.1713098,716.6992986,734.9908264,714.2931557,764.8533888,776.7265636,792.7444444,820.8798333,849.3208114,827.2680753,822.5601002,866.972869,869.0697032,844.8977299,864.5105773,853.327619,833.949346,787.0095062,759.1527886,774.2333267,770.5094572,772.8414719,916.9532668,871.9712911,928.1014248,929.030133,946.812913,905.3681646,1000.214452,997.2831496,1046.351215
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,712.7865185,728.7923669,790.7391515,761.6782609,756.6778667,771.1270526,773,831.1269,893.4245455,806.2369,851.6307407,913.9574336,905.2640394,968.1554271,1028.494241,993.1551628,998.4004651,1024.286564,1012.485395,1057.256302,1060.90832,1112.093679,1082.350045,1139.734085,1110.217249,1041.036477,982.5151724,1003.886619,929.6205263,934.0675958,968.3907458,952.978,1181.61,1062.517243,1111.312473,1163.256695,1279.461387,1293.877196,1206.491544,1266.986897,1270.722754
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540.7096154,541.9345122,578.8816667,593.733,581.3384516,598.1606186,630,601.3836,638.7466667,659.3458,686.6323392,686.3122831,722.7794393,738.2511538,758.1825,766.0341627,870.8434783,923.4495614,889.2352941,913.1969307,891.3337615,924.0476768,871.6246988,892.9724468,899.493494,856.4983721,823.0980328,874.9643678,808.9129592,814.8114953,825.9506383,877.9106349,999.8037805,900.5333333,922.8925,954.8214943,978.7104348,1002.187059,980.3340426,1002.4525,1112.396441
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,673.4370408,676.9830303,699.1008185,687.326639,697.1564151,708.0288278,729,751.5959,759.1616606,773.6242,839.5845455,854.1755034,895.2766139,930.1305919,927.1571141,914.776016,923.4405373,991.3864058,970.9748201,1000.522378,990.1809288,1010.140738,1020.225546,966.3825496,1030.010725,919.8250407,970.8967897,888.9472897,879.400355,862.0727826,889.1116517,922.8458824,1022.816656,1051.431808,1084.890954,1128.889407,1065.792148,1107.54186,1229.135549,1201.151411,1177.868796
Eixample,Districte,425.8277,417.8339,452.8412,453.8012,463.9843,496.6494,515.6572,568.4614,567.7528,550.32,553.3336,583.5845,567.4315,583.9746,598.0306,626.4628,624.3881,619.0138,650.0724,645.7078,679.2827,706.1063,704.5913,720.5894,686.2727,739.143,765.4372,808.1713,808.56,791.41,851.62,868.22,879.9102,884.896,909.2454,892.9911,887.37,871.64,856.25,845.7,828.69,830.5,840.21,834.05,822.0339,814.8877,824.3651,825.2825,801.308,791.8607,805.5967,802.4946,764.636,760.2274,765.704,763.6354,761.6839,764.2006,787.4656,792.1699,797.1413,817.3523,853.1194,852.2151,880.0906573,885.3381,940.9631093,953.0691142,956.2094914,987.6083636,1007.046095,1004.785043,994.8431666,1022.430912,1049.3654,1086.030753,1060.604319,1073.277323,1114.508453,1121.394172,1106.738574,1067.777155,1093.350854,1034.260895,991.958648,999.6643462,1008.77383,1032.996159,1068.861414,1103.335928,1183.084364,1210.312345,1214.475053,1276.4068,1292.65424,1323.426458,1349.883374
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,736.086601,706.1588327,719.8410833,735.9943333,753.7597159,770.1281,753,792.5338,800.082402,808.0782,868.3452804,816.50992,871.0789167,884.985203,933.5384146,910.7757576,910.5299679,942.9625597,968.8472923,983.0960536,957.2439146,988.6586692,1031.295965,1064.373397,1059.862286,999.9063235,997.3913566,959.5191636,917.9609687,907.0885676,970.2207732,976.8827336,957.8601761,1106.918967,1118.742996,1119.21556,1155.84829,1185.35375,1171.806898,1205.990659,1221.097135
