Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Index_Gini,Import_Renda_Disponible,Import_Renda_Bruta,Import_Renda_Neta,Edat_Mitjana
2020,1,Ciutat Vella,1,el Raval,1,3.8,38.0,12894.11,12798,10696,38.62680488707886
2020,1,Ciutat Vella,1,el Raval,2,3.4,37.3,9839.18,9727,8362,38.62680488707886
2020,1,Ciutat Vella,1,el Raval,3,3.7,38.1,10020.04,9932,8531,35.76421657592257
2020,1,Ciutat Vella,1,el Raval,4,3.2,37.3,12559.46,12318,10318,35.76421657592257
2020,1,Ciutat Vella,1,el Raval,5,3.1,37.2,10790.31,10575,9065,38.043315780533376
2020,1,Ciutat Vella,1,el Raval,6,3.2,40.4,11653.09,11704,9669,38.043315780533376
2020,1,Ciutat Vella,1,el Raval,7,3.2,38.2,11006.44,10806,9115,38.043315780533376
2020,1,Ciutat Vella,1,el Raval,8,2.9,35.3,8246.72,8167,7140,37.17627801561319
2020,1,Ciutat Vella,1,el Raval,9,3.5,37.7,11387.94,11322,9540,37.17627801561319
2020,1,Ciutat Vella,1,el Raval,10,3.1,36.3,8810.08,8760,7544,37.17627801561319
2020,1,Ciutat Vella,1,el Raval,11,3.0,35.2,8694.03,8504,7425,37.89020861885184
2020,1,Ciutat Vella,1,el Raval,12,2.9,33.0,11747.43,11393,9767,37.89020861885184
2020,1,Ciutat Vella,1,el Raval,13,2.8,33.8,12004.77,11647,10041,37.89020861885184
2020,1,Ciutat Vella,1,el Raval,14,2.8,31.0,10986.47,10589,9207,38.29421859916336
2020,1,Ciutat Vella,1,el Raval,15,3.4,37.0,11397.73,11120,9528,38.29421859916336
2020,1,Ciutat Vella,1,el Raval,16,2.4,30.2,10748.48,10376,8992,38.29421859916336
2020,1,Ciutat Vella,1,el Raval,17,2.7,31.5,10394.44,10122,8747,38.29421859916336
2020,1,Ciutat Vella,1,el Raval,18,2.9,32.0,10571.17,10304,8946,39.711038478680734
2020,1,Ciutat Vella,1,el Raval,19,3.2,36.0,10883.69,10638,9072,39.711038478680734
2020,1,Ciutat Vella,1,el Raval,20,3.6,37.2,17158.76,16956,13841,39.711038478680734
