Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Import_Renda_Disponible,Index_Gini,Import_Renda_Neta,Import_Renda_Bruta,Edat_Mitjana
2021,1,Ciutat Vella,1,el Raval,1,3.6,13828.66,37.5,11166,13657,38.80508166969147
2021,1,Ciutat Vella,1,el Raval,2,2.9,11247.3,35.4,9115,10724,38.80508166969147
2021,1,Ciutat Vella,1,el Raval,3,3.4,11638.83,36.2,9431,11017,36.1071104387292
2021,1,Ciutat Vella,1,el Raval,4,3.0,13688.8,35.0,10898,13156,36.1071104387292
2021,1,Ciutat Vella,1,el Raval,5,3.0,12037.71,36.8,9717,11426,37.898958161071604
2021,1,Ciutat Vella,1,el Raval,6,3.1,12705.98,38.4,10214,12444,37.898958161071604
2021,1,Ciutat Vella,1,el Raval,7,3.1,12374.65,36.0,9880,11809,37.898958161071604
2021,1,Ciutat Vella,1,el Raval,8,2.4,9469.15,31.1,7755,8836,36.938856015779095
2021,1,Ciutat Vella,1,el Raval,9,3.5,12434.59,37.7,10011,11919,36.938856015779095
2021,1,Ciutat Vella,1,el Raval,10,2.7,11079.75,34.1,8936,10457,36.938856015779095
2021,1,Ciutat Vella,1,el Raval,11,2.8,10053.43,32.8,8137,9366,37.8935790725327
2021,1,Ciutat Vella,1,el Raval,12,3.1,13224.75,34.4,10578,12561,37.8935790725327
2021,1,Ciutat Vella,1,el Raval,13,3.0,13394.05,33.6,10757,12656,37.8935790725327
2021,1,Ciutat Vella,1,el Raval,14,2.5,12548.04,29.7,10052,11673,38.42521390663923
2021,1,Ciutat Vella,1,el Raval,15,2.8,13049.12,34.5,10444,12404,38.42521390663923
2021,1,Ciutat Vella,1,el Raval,16,2.4,12046.93,29.6,9623,11261,38.42521390663923
2021,1,Ciutat Vella,1,el Raval,17,2.6,11267.42,30.6,9048,10471,38.42521390663923
