Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,1,0
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,1,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,1,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,1,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,1,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,17,1,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,9
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,10
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,1,11
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,12
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,13
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,14
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,15
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,16
2021-01-01,1,Ciutat Vella,1,el Raval,1,12,1,17
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,1,18
2021-01-01,1,Ciutat Vella,1,el Raval,1,17,1,19
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,1,20
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,1,21
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,1,22
2021-01-01,1,Ciutat Vella,1,el Raval,1,23,1,23
2021-01-01,1,Ciutat Vella,1,el Raval,1,30,1,24
2021-01-01,1,Ciutat Vella,1,el Raval,1,33,1,25
2021-01-01,1,Ciutat Vella,1,el Raval,1,35,1,26
2021-01-01,1,Ciutat Vella,1,el Raval,1,43,1,27
2021-01-01,1,Ciutat Vella,1,el Raval,1,41,1,28
2021-01-01,1,Ciutat Vella,1,el Raval,1,28,1,29
2021-01-01,1,Ciutat Vella,1,el Raval,1,42,1,30
2021-01-01,1,Ciutat Vella,1,el Raval,1,36,1,31
2021-01-01,1,Ciutat Vella,1,el Raval,1,24,1,32
2021-01-01,1,Ciutat Vella,1,el Raval,1,25,1,33
2021-01-01,1,Ciutat Vella,1,el Raval,1,24,1,34
2021-01-01,1,Ciutat Vella,1,el Raval,1,25,1,35
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,1,36
2021-01-01,1,Ciutat Vella,1,el Raval,1,18,1,37
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,1,38
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,1,39
2021-01-01,1,Ciutat Vella,1,el Raval,1,19,1,40
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,1,41
2021-01-01,1,Ciutat Vella,1,el Raval,1,19,1,42
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,1,43
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,1,44
