Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20
2021,1,Ciutat Vella,1,el Raval,1,3.6
2021,1,Ciutat Vella,1,el Raval,2,2.9
2021,1,Ciutat Vella,1,el Raval,3,3.4
2021,1,Ciutat Vella,1,el Raval,4,3
2021,1,Ciutat Vella,1,el Raval,5,3
2021,1,Ciutat Vella,1,el Raval,6,3.1
2021,1,Ciutat Vella,1,el Raval,7,3.1
2021,1,Ciutat Vella,1,el Raval,8,2.4
2021,1,Ciutat Vella,1,el Raval,9,3.5
2021,1,Ciutat Vella,1,el Raval,10,2.7
2021,1,Ciutat Vella,1,el Raval,11,2.8
2021,1,Ciutat Vella,1,el Raval,12,3.1
2021,1,Ciutat Vella,1,el Raval,13,3
2021,1,Ciutat Vella,1,el Raval,14,2.5
2021,1,Ciutat Vella,1,el Raval,15,2.8
2021,1,Ciutat Vella,1,el Raval,16,2.4
2021,1,Ciutat Vella,1,el Raval,17,2.6
2021,1,Ciutat Vella,1,el Raval,18,2.7
2021,1,Ciutat Vella,1,el Raval,19,3.1
2021,1,Ciutat Vella,1,el Raval,20,3.2
2021,1,Ciutat Vella,1,el Raval,21,3.6
2021,1,Ciutat Vella,2,el Barri Gòtic,22,3.7
2021,1,Ciutat Vella,2,el Barri Gòtic,23,3.2
2021,1,Ciutat Vella,2,el Barri Gòtic,25,3.2
2021,1,Ciutat Vella,2,el Barri Gòtic,26,3.7
2021,1,Ciutat Vella,2,el Barri Gòtic,27,3.2
2021,1,Ciutat Vella,2,el Barri Gòtic,28,3.5
2021,1,Ciutat Vella,2,el Barri Gòtic,29,3.5
2021,1,Ciutat Vella,2,el Barri Gòtic,30,3.5
2021,1,Ciutat Vella,2,el Barri Gòtic,31,3.6
2021,1,Ciutat Vella,3,la Barceloneta,32,3.2
2021,1,Ciutat Vella,3,la Barceloneta,33,2.9
2021,1,Ciutat Vella,3,la Barceloneta,34,3.1
2021,1,Ciutat Vella,3,la Barceloneta,35,2.6
2021,1,Ciutat Vella,3,la Barceloneta,36,2.9
2021,1,Ciutat Vella,3,la Barceloneta,37,2.8
2021,1,Ciutat Vella,3,la Barceloneta,38,3.1
2021,1,Ciutat Vella,3,la Barceloneta,39,2.9
2021,1,Ciutat Vella,3,la Barceloneta,40,3.4
2021,1,Ciutat Vella,3,la Barceloneta,41,3.1
2021,1,Ciutat Vella,3,la Barceloneta,42,2.9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,3.3
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,3.8
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,3.5
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,3.4
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,3
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,3.3
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,3.2
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,3.1
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,3.7
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,3.8
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,2.9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,3.2
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,3.1
2021,2,L'Eixample,5,el Fort Pienc,1,3.1
2021,2,L'Eixample,5,el Fort Pienc,2,3.1
2021,2,L'Eixample,5,el Fort Pienc,3,2.9
2021,2,L'Eixample,5,el Fort Pienc,4,3
2021,2,L'Eixample,5,el Fort Pienc,5,2.6
2021,2,L'Eixample,5,el Fort Pienc,6,2.9
2021,2,L'Eixample,5,el Fort Pienc,7,2.9
2021,2,L'Eixample,5,el Fort Pienc,8,2.7
2021,2,L'Eixample,5,el Fort Pienc,9,3.1
2021,2,L'Eixample,5,el Fort Pienc,10,3.1
2021,2,L'Eixample,5,el Fort Pienc,11,2.6
2021,2,L'Eixample,5,el Fort Pienc,12,2.8
2021,2,L'Eixample,5,el Fort Pienc,13,3.2
2021,2,L'Eixample,5,el Fort Pienc,14,2.4
2021,2,L'Eixample,5,el Fort Pienc,15,3.1
2021,2,L'Eixample,5,el Fort Pienc,16,2.7
2021,2,L'Eixample,5,el Fort Pienc,17,2.9
2021,2,L'Eixample,5,el Fort Pienc,18,2.9
2021,2,L'Eixample,5,el Fort Pienc,19,2.9
2021,2,L'Eixample,5,el Fort Pienc,20,3.1
2021,2,L'Eixample,6,la Sagrada Família,21,2.8
2021,2,L'Eixample,6,la Sagrada Família,22,3.7
2021,2,L'Eixample,6,la Sagrada Família,23,2.5
2021,2,L'Eixample,6,la Sagrada Família,24,3.2
2021,2,L'Eixample,6,la Sagrada Família,25,2.8
2021,2,L'Eixample,6,la Sagrada Família,26,3.1
2021,2,L'Eixample,6,la Sagrada Família,27,3.2
2021,2,L'Eixample,6,la Sagrada Família,28,3.2
2021,2,L'Eixample,6,la Sagrada Família,29,2.7
2021,2,L'Eixample,6,la Sagrada Família,30,2.6
2021,2,L'Eixample,6,la Sagrada Família,31,2.6
2021,2,L'Eixample,6,la Sagrada Família,32,2.5
2021,2,L'Eixample,6,la Sagrada Família,33,2.6
2021,2,L'Eixample,6,la Sagrada Família,34,3.2
2021,2,L'Eixample,6,la Sagrada Família,35,2.6
2021,2,L'Eixample,6,la Sagrada Família,36,2.5
2021,2,L'Eixample,6,la Sagrada Família,37,2.5
2021,2,L'Eixample,6,la Sagrada Família,38,2.8
2021,2,L'Eixample,6,la Sagrada Família,39,2.8
2021,2,L'Eixample,6,la Sagrada Família,40,2.8
2021,2,L'Eixample,6,la Sagrada Família,41,3.1
2021,2,L'Eixample,6,la Sagrada Família,42,2.6
2021,2,L'Eixample,6,la Sagrada Família,43,2.9
2021,2,L'Eixample,6,la Sagrada Família,44,3.3
2021,2,L'Eixample,6,la Sagrada Família,45,2.9
2021,2,L'Eixample,6,la Sagrada Família,46,3.2
2021,2,L'Eixample,6,la Sagrada Família,47,3.1
2021,2,L'Eixample,6,la Sagrada Família,48,3.6
2021,2,L'Eixample,6,la Sagrada Família,49,3.7
2021,2,L'Eixample,6,la Sagrada Família,50,2.7
2021,2,L'Eixample,6,la Sagrada Família,51,3.3
2021,2,L'Eixample,6,la Sagrada Família,52,3.3
2021,2,L'Eixample,6,la Sagrada Família,53,3.2
2021,2,L'Eixample,6,la Sagrada Família,54,2.9
2021,2,L'Eixample,7,la Dreta de l'Eixample,55,2.9
2021,2,L'Eixample,7,la Dreta de l'Eixample,56,2.8
2021,2,L'Eixample,7,la Dreta de l'Eixample,57,3
2021,2,L'Eixample,7,la Dreta de l'Eixample,58,2.7
2021,2,L'Eixample,7,la Dreta de l'Eixample,59,3.6
2021,2,L'Eixample,7,la Dreta de l'Eixample,60,2.8
2021,2,L'Eixample,7,la Dreta de l'Eixample,61,3.1
2021,2,L'Eixample,7,la Dreta de l'Eixample,62,3.3
2021,2,L'Eixample,7,la Dreta de l'Eixample,63,3.7
2021,2,L'Eixample,7,la Dreta de l'Eixample,64,2.6
2021,2,L'Eixample,7,la Dreta de l'Eixample,65,3.3
2021,2,L'Eixample,7,la Dreta de l'Eixample,66,2.6
2021,2,L'Eixample,7,la Dreta de l'Eixample,67,3.1
2021,2,L'Eixample,7,la Dreta de l'Eixample,68,3.1
2021,2,L'Eixample,7,la Dreta de l'Eixample,69,3.4
2021,2,L'Eixample,7,la Dreta de l'Eixample,70,3.3
2021,2,L'Eixample,7,la Dreta de l'Eixample,71,2.9
2021,2,L'Eixample,7,la Dreta de l'Eixample,72,3.5
2021,2,L'Eixample,7,la Dreta de l'Eixample,73,3.3
2021,2,L'Eixample,7,la Dreta de l'Eixample,74,3.5
2021,2,L'Eixample,7,la Dreta de l'Eixample,75,3.1
2021,2,L'Eixample,7,la Dreta de l'Eixample,76,3.3
2021,2,L'Eixample,7,la Dreta de l'Eixample,77,4.2
2021,2,L'Eixample,7,la Dreta de l'Eixample,78,3.8
2021,2,L'Eixample,7,la Dreta de l'Eixample,79,3.8
2021,2,L'Eixample,7,la Dreta de l'Eixample,80,3.6
2021,2,L'Eixample,7,la Dreta de l'Eixample,81,3.4
2021,2,L'Eixample,7,la Dreta de l'Eixample,82,3.1
2021,2,L'Eixample,7,la Dreta de l'Eixample,83,3.5
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,3.4
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,3.1
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,3.1
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,87,3.5
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,88,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,89,3.1
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,90,3.7
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,91,3.5
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,92,3.4
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,93,3.4
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,94,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,95,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,96,3
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,97,2.9
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,98,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,99,3.8
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,100,2.8
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,101,3
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,102,3.3
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,103,3
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,104,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,105,3.1
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,106,3.4
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,107,3
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,108,3.2
2021,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,109,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,110,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,111,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,112,2.4
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,113,3.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,114,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,115,3.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,116,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,117,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,118,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,119,2.4
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,120,2.4
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,121,3.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,122,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,123,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,124,2.6
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,125,2.6
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,126,2.5
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,127,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,128,3.3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,129,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,130,2.3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,131,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,132,2.8
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,133,2.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,134,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,135,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,136,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,137,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,138,2.8
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,139,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,140,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,141,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,142,3.3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,143,3
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,144,2.9
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,145,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,146,3.2
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,147,3.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,148,3.1
2021,2,L'Eixample,9,la Nova Esquerra de l'Eixample,149,3.3
2021,2,L'Eixample,10,Sant Antoni,150,3.2
2021,2,L'Eixample,10,Sant Antoni,151,3.4
2021,2,L'Eixample,10,Sant Antoni,152,3.1
2021,2,L'Eixample,10,Sant Antoni,153,2.5
2021,2,L'Eixample,10,Sant Antoni,154,3.5
2021,2,L'Eixample,10,Sant Antoni,155,2.8
2021,2,L'Eixample,10,Sant Antoni,156,2.8
2021,2,L'Eixample,10,Sant Antoni,157,3
2021,2,L'Eixample,10,Sant Antoni,158,2.8
2021,2,L'Eixample,10,Sant Antoni,159,3
2021,2,L'Eixample,10,Sant Antoni,160,2.9
2021,2,L'Eixample,10,Sant Antoni,161,2.8
2021,2,L'Eixample,10,Sant Antoni,162,3.2
2021,2,L'Eixample,10,Sant Antoni,163,2.8
2021,2,L'Eixample,10,Sant Antoni,164,3.6
2021,2,L'Eixample,10,Sant Antoni,165,3.1
2021,2,L'Eixample,10,Sant Antoni,166,3.3
2021,2,L'Eixample,10,Sant Antoni,167,2.8
2021,2,L'Eixample,10,Sant Antoni,168,3.3
2021,2,L'Eixample,10,Sant Antoni,169,3
2021,2,L'Eixample,10,Sant Antoni,170,2.9
2021,2,L'Eixample,10,Sant Antoni,171,3
2021,2,L'Eixample,10,Sant Antoni,172,3.1
2021,2,L'Eixample,10,Sant Antoni,173,3.1
2021,3,Sants-Montjuïc,11,el Poble Sec,1,3
2021,3,Sants-Montjuïc,11,el Poble Sec,2,2.9
2021,3,Sants-Montjuïc,11,el Poble Sec,3,3.2
2021,3,Sants-Montjuïc,11,el Poble Sec,4,3.1
2021,3,Sants-Montjuïc,11,el Poble Sec,5,3
2021,3,Sants-Montjuïc,11,el Poble Sec,6,2.9
2021,3,Sants-Montjuïc,11,el Poble Sec,7,2.9
2021,3,Sants-Montjuïc,11,el Poble Sec,8,3.6
