Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2020,1,Ciutat Vella,1,el Raval,1,12894.11
2020,1,Ciutat Vella,1,el Raval,2,9839.18
2020,1,Ciutat Vella,1,el Raval,3,10020.04
2020,1,Ciutat Vella,1,el Raval,4,12559.46
2020,1,Ciutat Vella,1,el Raval,5,10790.31
2020,1,Ciutat Vella,1,el Raval,6,11653.09
2020,1,Ciutat Vella,1,el Raval,7,11006.44
2020,1,Ciutat Vella,1,el Raval,8,8246.72
2020,1,Ciutat Vella,1,el Raval,9,11387.94
2020,1,Ciutat Vella,1,el Raval,10,8810.08
2020,1,Ciutat Vella,1,el Raval,11,8694.03
2020,1,Ciutat Vella,1,el Raval,12,11747.43
2020,1,Ciutat Vella,1,el Raval,13,12004.77
2020,1,Ciutat Vella,1,el Raval,14,10986.47
2020,1,Ciutat Vella,1,el Raval,15,11397.73
2020,1,Ciutat Vella,1,el Raval,16,10748.48
2020,1,Ciutat Vella,1,el Raval,17,10394.44
2020,1,Ciutat Vella,1,el Raval,18,10571.17
2020,1,Ciutat Vella,1,el Raval,19,10883.69
2020,1,Ciutat Vella,1,el Raval,20,17158.76
2020,1,Ciutat Vella,1,el Raval,21,16524.78
2020,1,Ciutat Vella,2,el Barri Gòtic,22,20556.78
2020,1,Ciutat Vella,2,el Barri Gòtic,23,17543.44
2020,1,Ciutat Vella,2,el Barri Gòtic,25,15730.97
2020,1,Ciutat Vella,2,el Barri Gòtic,26,17187.54
2020,1,Ciutat Vella,2,el Barri Gòtic,27,15611.01
2020,1,Ciutat Vella,2,el Barri Gòtic,28,14984.02
2020,1,Ciutat Vella,2,el Barri Gòtic,29,11870.22
2020,1,Ciutat Vella,2,el Barri Gòtic,30,13362.19
2020,1,Ciutat Vella,2,el Barri Gòtic,31,12859.68
2020,1,Ciutat Vella,3,la Barceloneta,32,17076.34
2020,1,Ciutat Vella,3,la Barceloneta,33,13841.09
2020,1,Ciutat Vella,3,la Barceloneta,34,14775.46
2020,1,Ciutat Vella,3,la Barceloneta,35,14521.73
2020,1,Ciutat Vella,3,la Barceloneta,36,15854.62
2020,1,Ciutat Vella,3,la Barceloneta,37,14694.59
2020,1,Ciutat Vella,3,la Barceloneta,38,13615.46
2020,1,Ciutat Vella,3,la Barceloneta,39,14683.7
2020,1,Ciutat Vella,3,la Barceloneta,40,15886.25
2020,1,Ciutat Vella,3,la Barceloneta,41,13417.29
2020,1,Ciutat Vella,3,la Barceloneta,42,15393.65
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,21885.13
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20238.24
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,16678.86
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,14657.61
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,15482.44
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11929.05
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15570.12
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15351.91
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13531.48
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,21478.54
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14333.53
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,16160.95
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,19831.72
2020,2,Eixample,5,el Fort Pienc,1,21572.67
2020,2,Eixample,5,el Fort Pienc,2,21057.36
2020,2,Eixample,5,el Fort Pienc,3,23292.22
2020,2,Eixample,5,el Fort Pienc,4,17842.4
2020,2,Eixample,5,el Fort Pienc,5,22886.7
2020,2,Eixample,5,el Fort Pienc,6,23567.44
2020,2,Eixample,5,el Fort Pienc,7,25234.47
2020,2,Eixample,5,el Fort Pienc,8,23813.48
2020,2,Eixample,5,el Fort Pienc,9,22073.61
2020,2,Eixample,5,el Fort Pienc,10,20737.22
2020,2,Eixample,5,el Fort Pienc,11,21901.26
2020,2,Eixample,5,el Fort Pienc,12,17379.26
2020,2,Eixample,5,el Fort Pienc,13,18577.89
2020,2,Eixample,5,el Fort Pienc,14,18030.4
2020,2,Eixample,5,el Fort Pienc,15,18801.28
2020,2,Eixample,5,el Fort Pienc,16,22951.96
2020,2,Eixample,5,el Fort Pienc,17,23427.72
2020,2,Eixample,5,el Fort Pienc,18,22902.72
2020,2,Eixample,5,el Fort Pienc,19,20972.68
2020,2,Eixample,5,el Fort Pienc,20,19355.68
2020,2,Eixample,6,la Sagrada Família,21,19138.32
2020,2,Eixample,6,la Sagrada Família,22,20332.97
2020,2,Eixample,6,la Sagrada Família,23,21308.01
2020,2,Eixample,6,la Sagrada Família,24,19941.13
2020,2,Eixample,6,la Sagrada Família,25,18872.34
2020,2,Eixample,6,la Sagrada Família,26,20494.26
2020,2,Eixample,6,la Sagrada Família,27,21148.95
2020,2,Eixample,6,la Sagrada Família,28,20764.6
2020,2,Eixample,6,la Sagrada Família,29,21203.64
2020,2,Eixample,6,la Sagrada Família,30,16795.52
2020,2,Eixample,6,la Sagrada Família,31,22910.98
2020,2,Eixample,6,la Sagrada Família,32,22575.62
2020,2,Eixample,6,la Sagrada Família,33,20419.43
2020,2,Eixample,6,la Sagrada Família,34,19885.02
2020,2,Eixample,6,la Sagrada Família,35,22987.66
2020,2,Eixample,6,la Sagrada Família,36,23514.06
2020,2,Eixample,6,la Sagrada Família,37,24671.25
2020,2,Eixample,6,la Sagrada Família,38,23561.8
2020,2,Eixample,6,la Sagrada Família,39,20845.85
2020,2,Eixample,6,la Sagrada Família,40,18687.47
2020,2,Eixample,6,la Sagrada Família,41,20392.55
2020,2,Eixample,6,la Sagrada Família,42,25290.13
2020,2,Eixample,6,la Sagrada Família,43,22260.12
2020,2,Eixample,6,la Sagrada Família,44,18870.05
2020,2,Eixample,6,la Sagrada Família,45,22979.32
2020,2,Eixample,6,la Sagrada Família,46,19319.44
2020,2,Eixample,6,la Sagrada Família,47,20224.29
2020,2,Eixample,6,la Sagrada Família,48,21245.1
2020,2,Eixample,6,la Sagrada Família,49,18827.42
2020,2,Eixample,6,la Sagrada Família,50,20870.26
2020,2,Eixample,6,la Sagrada Família,51,18522.48
2020,2,Eixample,6,la Sagrada Família,52,21812.98
2020,2,Eixample,6,la Sagrada Família,53,22879.5
2020,2,Eixample,6,la Sagrada Família,54,22257.77
2020,2,Eixample,7,la Dreta de l'Eixample,55,22707.52
2020,2,Eixample,7,la Dreta de l'Eixample,56,23404.55
2020,2,Eixample,7,la Dreta de l'Eixample,57,29317.04
2020,2,Eixample,7,la Dreta de l'Eixample,58,27363.68
2020,2,Eixample,7,la Dreta de l'Eixample,59,28484.84
2020,2,Eixample,7,la Dreta de l'Eixample,60,23137.74
2020,2,Eixample,7,la Dreta de l'Eixample,61,22416.8
2020,2,Eixample,7,la Dreta de l'Eixample,62,27238.25
2020,2,Eixample,7,la Dreta de l'Eixample,63,33044.1
2020,2,Eixample,7,la Dreta de l'Eixample,64,31047.05
2020,2,Eixample,7,la Dreta de l'Eixample,65,25577.17
2020,2,Eixample,7,la Dreta de l'Eixample,66,24092.09
2020,2,Eixample,7,la Dreta de l'Eixample,67,21122.59
2020,2,Eixample,7,la Dreta de l'Eixample,68,22126.4
2020,2,Eixample,7,la Dreta de l'Eixample,69,26438.84
2020,2,Eixample,7,la Dreta de l'Eixample,70,26662.81
