Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Catalunya,Comunitat Autònoma,-,-,-,-,-,52941,56812,62671,80126,97818,116188,127813,138621,150200,149733,141767,142714,156936,167953,162520,135509,167842,152770,132988,34503
Metropolità de Barcelona,Àmbit funcional territorial,-,-,-,-,-,41198,42903,45208,55515,67416,78217,85187,92478,102084,101258,92316,93068,105074,113744,109321,89627,114321,102184,87099,22462
Barcelona,Municipi,14983,17046,18035,20376,22633,23982,23975,24162,27414,32177,36873,38156,41047,44819,44411,40623,42182,49953,53524,51294,40416,57158,47927,38683,9826
Ciutat Vella,Districte,1540,1675,1978,2125,2443,2398,2443,2386,2701,3189,3808,3996,4167,4447,4343,4182,4484,4977,4607,4544,3462,4771,3958,2914,767
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1583,1484,1733,2003,1918,1929,1467,2003,1626,1207,354
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630,684,785,808,967,890,730,1050,882,614,138
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566,703,789,857,415,385,274,362,341,236,59
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,982,1014,1177,1309,1307,1340,991,1356,1109,857,216
Eixample,Districte,4207,4515,4535,5176,5754,5741,5587,5818,6407,7457,8541,8617,9275,9909,9347,8538,8457,10024,11513,10994,8469,12688,9974,7612,1897
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,910,806,870,1054,1191,1144,914,1398,1033,770,171
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1461,1456,1485,1756,2002,1977,1510,2225,1748,1338,335
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1430,1422,1611,1871,2212,2077,1628,2313,1808,1514,377
l'Antiga Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1614,1506,1625,1928,2192,2111,1599,2407,1946,1479,377
